Age,Accu,PureAccu,RepAccu,SwiAccu,PureRT,RepRT,SwiRT,V2Vp,A2Vp,A2Ap,V2Ap,Vonlyp,Aonlyp,V2Vr,A2Vr,A2Ar,V2Ar,Vonlyr,Aonlyr,V2Vr,A2Vr,A2Ar,V2Ar,Vonlyr,Aonlyr,MSEvp,MSEap,MSEvr,MSEar,MSEvs,MSEas,PureYesPrime,PureYesUnprimed,RepYesPrime,RepYesUnprimed,SwiYesPrime,SwiYesUnprimed,PureComm,RepComm,SwiComm,PureOm,RepOm,SwiOm,PureCommRT,RepCommRT,SwiCommRT,PureNoPrimeErr,PureNoUnprimedErr,RepNoPrimeErr,RepNoUnprimedErr,SwiNoPrimeErr,SwiNoUnprimedErr,PureRspRep,PureRspSing,RepRspRep,RepRspSing,SwiRspRep,SwiRspSing
A,97.973,97.2222,98.6667,100,514.4426,505.7325,414.8187,471.6025,438.86,502.868,614.97,451.524,NaN,421.8586,467.5167,526.3486,499.0333,521.0663,NaN,405.08,396.8267,367.675,491.24,376.775,NaN,-32.7425,112.102,45.6581,-27.3152,-8.2533,123.565,488.7886,554.3489,458.142,557.4613,418.38,413.038,0.027778,0.013333,0,0,0,0,498.1,454.45,NaN,0,0.066667,0.027027,0,0,0,527.5465,477.315,455.7003,589.1194,400.9892,470.1367
A,91.2162,86.1111,96,92,1007.7594,908.1667,926.3493,853.74,733.785,825.144,1006.13,1205.1167,NaN,584.0143,770.5983,1415.168,1458.9333,900.3363,NaN,866.05,1148.94,1037.585,1068.1,858.35,NaN,-119.955,180.986,186.584,43.7653,282.89,30.515,1018.565,994.2525,852.5704,966.29,885.988,946.53,0,0,0.08,0.13889,0.04,0,NaN,NaN,721.385,0,0,0,0,0,0.11765,758.856,1318.8887,918.3857,887.7287,927.4827,923.2325
A,100,100,100,100,891.9465,846.411,829.9847,833.0225,848.36,954.868,969.42,791.744,NaN,819.43,726.8,899.4343,756.6533,833.8613,NaN,830.85,734.5833,1055.555,1011.3,734.55,NaN,15.3375,14.552,-92.63,-142.781,-96.2667,-44.255,874.025,919.8244,838.0632,855.4848,837.97,825.992,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,918.8041,815.85,807.429,911.3811,851.5191,770.765
A,100,100,100,100,789.023,916.0744,939.7467,700.3725,790.46,785.364,757.445,821.226,NaN,769.74,878.085,904.6586,763.66,978.2375,NaN,899.79,982.4533,1133.65,977.35,850.24,NaN,90.0875,-27.919,108.345,-140.9986,82.6633,-156.3,801.3157,769.9011,879.3968,955.9413,965.8,926.72,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,756.1118,882.2717,844.375,1035.5733,965.9127,867.79
A,99.3243,100,100,96,948.2035,773.5598,698.5533,843.765,1099.165,1207.674,843.03,762.768,NaN,593.9343,676.405,903.62,640.7333,794.1537,NaN,681.18,761.4933,651.395,1440.8,555.175,NaN,255.4,-364.644,82.4707,-262.8867,80.3133,789.405,1004.0236,861.3722,775.9284,770.9852,866.54,614.56,0,0,0.04,0,0,0,NaN,NaN,714.92,0,0,0,0,0,0.058824,980.5847,856.4567,707.892,883.0061,734.2382,600.42
6,93.9189,94.4444,97.3333,80,1211.6243,1498.7479,1544.0146,1152.0533,957.4,1268.675,1748.0333,1063.53,NaN,1312.6486,1480.4371,1729.3,1540.695,1615.7757,NaN,1301,2933.7,2479,1583.2,NaN,NaN,-194.6533,479.3583,167.7886,-188.605,1632.7,-895.8,1198.702,1223.3718,1433.5208,1569.647,2258.45,1414.1173,0.027778,0.026667,0.2,0.027778,0,0,1382.7,1524.8,1725.3,0,0.055556,0.030303,0.02381,0.25,0.17647,1285.1015,1092.2238,1424.7667,1622.05,1516.1656,1606.675
6,98.6486,100,100,92,784.5396,828.5015,901.7387,612.4975,876.11,647.976,1005.2,822.398,NaN,568.0929,806.18,703.5129,790.9633,978.0625,NaN,1132.7,818.4567,639.22,1108.5,1186.33,NaN,263.6125,357.224,238.0871,87.4505,-314.2433,469.28,680.2621,946.7489,741.3572,923.2235,962.428,871.394,0,0,0.08,0,0,0,NaN,NaN,770.205,0,0,0,0,0.125,0.058824,792.5465,761.8533,776.5144,932.4756,845.7373,1055.7425
6,95.9459,100,97.3333,84,1131.5043,1110.7119,1171.2827,796.66,868.65,888.274,1742.155,902.372,NaN,930.0771,1006.75,1164.48,1292.2333,1253.3963,NaN,1720.5,980.2,1530.81,1272.7,759.85,NaN,71.99,853.881,76.6729,127.7533,-740.3,-258.11,923.2179,1455.5056,1034.0568,1197.82,1054.176,1229.836,0,0.013333,0.16,0,0.013333,0,NaN,3270.1,858.0575,0,0,0.027027,0,0.125,0.17647,1165.7788,1034.3933,1044.8661,1265.92,1294.6455,832.035
6,95.2703,94.4444,97.3333,92,1121.3586,1145.0513,1326.8987,974.4775,1068.35,1405.822,1010.75,1037.79,NaN,932.3086,999.085,1383.8957,1422.6167,1454.5625,NaN,838.85,1856.2,2003.65,1827.3,1046.755,NaN,93.8725,-395.072,66.7764,38.721,1017.35,-176.35,1176.46,1031.8188,1016.3728,1291.2768,1365.922,1307.387,0,0.013333,0.08,0.055556,0.013333,0,NaN,3122.9,848.52,0,0,0.027027,0,0.125,0.058824,940.8193,1482.4371,975.4587,1444.3324,1438.7609,1019.2775
6,93.9189,91.6667,97.3333,84,1235.1143,1135.5075,1176.9231,818.7083,1716.4,1315.9425,1671.0067,1283.515,NaN,1038.8343,1176.3157,1176.7733,1442.75,1074.0486,NaN,729.34,1453.4,1778.2,1140.1,NaN,NaN,897.6917,355.0642,137.4814,265.9767,724.06,-638.1,1017.602,1432.8527,1025.2972,1255.3013,1296.75,1155.1364,0.055556,0.026667,0.16,0.027778,0,0,1254.4,855.82,935.0725,0,0.11111,0,0.047619,0.25,0.11765,1234.2715,1236.4837,1088.4445,1207.3405,1094.95,1450.1667
6,95.2703,100,98.6667,76,849.9048,1063.9835,990.84,708.59,742.895,758.77,1012.5183,865.24,NaN,670.6971,894.26,1159.3643,1058.2667,1086.6487,NaN,898.62,985.5,1147.01,946.94,1093.75,NaN,34.305,253.7483,223.5629,-101.0976,86.88,-200.07,800.1407,927.3156,963.2132,1173.5165,976.044,998.238,0,0.013333,0.24,0,0,0,NaN,769.77,1106.4133,0,0,0,0.026316,0.25,0.23529,834.6535,893.1167,1015.7931,1193.7269,967.5327,1054.935
6,95.9459,94.4444,97.3333,92,1012.8281,999.289,963.134,900.7925,1014.4,676.9625,1205.4667,1153.124,NaN,759.7214,1042.6583,824.91,1287.3633,888.5288,NaN,633.69,1014.1333,957.71,1398,1003.795,NaN,113.6075,528.5042,282.9369,462.4533,380.4433,440.29,902.6454,1191.875,795.71,1220.5704,1094.698,897.352,0,0.026667,0.08,0.055556,0,0,NaN,622.735,371.4433,0,0,0,0.052632,0.25,0,970.548,1118.5283,865.4641,1266.9388,956.6373,981
6,84.4595,91.6667,80,88,1166.2733,1184.9759,1204.7673,975.2975,1555.65,844.925,1244.21,1109.7475,NaN,817.6386,912.3817,1297.172,1395.4667,1429.3575,NaN,966.47,1051.5267,1116.16,2379,1258.67,NaN,580.3525,399.285,94.7431,98.2947,85.0567,1262.84,1090.395,1267.4444,961.4527,1443.7921,1377.714,1118.294,0.027778,0.10667,0.12,0.055556,0.093333,0,885.34,1565.8338,1512.2667,0.047619,0,0.10811,0.10526,0.125,0.11765,1117.4893,1263.8414,1073.4447,1489.1518,1242.6837,1161.4343
6,93.2432,97.2222,94.6667,80,837.7948,1070.8813,1252.7387,694.685,791.03,868.648,887.705,904.868,NaN,803.7083,843.9917,1337.1729,893.9767,1094.32,NaN,1944.7,1553.9267,1085.09,1933.6,1004.135,NaN,96.345,19.057,40.2833,-443.1962,-390.7733,848.51,823.9779,859.2878,1071.9304,1069.8322,1425.594,1166.311,0.027778,0.026667,0.2,0,0.026667,0,1109.6,1069.075,835.922,0,0.066667,0,0.052632,0.125,0.23529,825.31,873.1683,1032.6297,1158.3136,1342.0555,1007.1175
6,91.2162,91.6667,92,84,1326.065,1646.5479,1501.0831,993.4025,1096,1422.84,1964.8,1076.458,NaN,1146.8429,1395.776,1853.92,1709.5667,1176.58,NaN,1071.5,2134.2,1753.1,NaN,1069.585,NaN,102.5975,541.96,248.9331,-144.3533,1062.7,NaN,1173.7462,1608.9429,1480.2491,1829.4765,1393.6925,1548.8122,0,0,0.08,0.083333,0.08,0.08,NaN,NaN,1603.75,0,0,0,0,0.125,0.058824,1409.2673,1076.458,1438.6841,1875.198,1515.911,1451.6567
6,96.6216,97.2222,97.3333,92,1046.8991,1528.8322,1561.2169,1167.805,664.06,952.85,1148.3167,920.785,NaN,1293.2833,1416.4443,1615.8833,1790.6,1710.15,NaN,1504.8,1762.9,918.01,1778.3,NaN,NaN,-503.745,195.4667,123.161,174.7167,258.1,860.29,1070.0982,1023.7,1545.0762,1511.1114,1770.6,1523.1473,0.027778,0,0.08,0,0.026667,0,2134.5,NaN,1999.85,0,0.055556,0,0,0.125,0.058824,1058.6727,1021.67,1431.8438,1654.917,1709.0122,1228.6775
6,98.6486,100,100,92,1272.2222,1527.0825,1561.3143,1361.475,1509.865,1111.23,1316.9817,1260.208,NaN,1302.87,2117.0167,1543.3571,1315.2033,1768.9125,NaN,1082.1,2178.3667,1399.3,NaN,1307.55,NaN,148.39,205.7517,814.1467,-228.1538,1096.2667,NaN,1233.4564,1332.5244,1366.338,1701.8048,1843.125,1448.59,0,0,0.04,0,0,0.04,NaN,NaN,1533,0,0,0,0,0,0.058824,1289.6276,1222.9067,1421.8297,1687.7316,1527.38,1646.15
6,95.9459,100,97.3333,84,774.2574,847.3594,912.786,675.2775,529.09,719.374,867.415,879.07,NaN,686.7286,865.7683,961.1771,727.4567,798.0375,NaN,748.07,1464.84,710.225,859.37,815.125,NaN,-146.1875,148.041,179.0398,-233.7205,716.77,149.145,768.5429,783.1467,826.2644,870.2887,830.354,954.002,0,0.026667,0.16,0,0,0,NaN,837.705,993.79,0,0,0,0.052632,0.25,0.11765,738.8618,874.545,836.8529,875.6462,936.9982,846.2025
6,96.6216,100,96,92,1173.6909,1269.4366,1358.5533,720.36,1241.41,1094.09,1654.8167,997.076,NaN,896.6129,991.505,1510.5143,1213.55,1567.95,NaN,930.94,1971.8333,1042.065,2423.7,1213.65,NaN,521.05,560.7267,94.8921,-296.9643,1040.8933,1381.635,961.7407,1503.3911,1257.2796,1283.2514,1564.32,1255.67,0,0.026667,0.08,0,0.013333,0,NaN,1236.615,2106.44,0,0,0.027027,0.026316,0.125,0.058824,1221.3888,1038.5467,1160.114,1462.3588,1386.9273,1280.525
